epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202107,2021-02-16,338,CE,,23,state,397442,4326.08625,947,10850,14,0.0273,9187103,True,False
202107,2021-02-15,337,CE,,23,state,396495,4315.77833,1589,10836,2,0.0273,9187103,False,False
202107,2021-02-14,336,CE,,23,state,394906,4298.48234,1256,10834,12,0.0274,9187103,False,False
202106,2021-02-13,335,CE,,23,state,393650,4284.811,2793,10822,81,0.0275,9187103,False,False
202106,2021-02-12,334,CE,,23,state,390857,4254.40969,0,10741,0,0.0275,9187103,False,False
202106,2021-02-11,333,CE,,23,state,390857,4254.40969,2808,10741,71,0.0275,9187103,False,False
202106,2021-02-10,332,CE,,23,state,388049,4223.8451,965,10670,18,0.0275,9187103,False,False
202106,2021-02-09,331,CE,,23,state,387084,4213.34125,2265,10652,33,0.0275,9187103,False,False
202106,2021-02-08,330,CE,,23,state,384819,4188.68712,2222,10619,7,0.0276,9187103,False,False
202106,2021-02-07,329,CE,,23,state,382597,4164.50104,0,10612,0,0.0277,9187103,False,False
202105,2021-02-06,328,CE,,23,state,382597,4164.50104,1604,10612,9,0.0277,9187103,False,False
202105,2021-02-05,327,CE,,23,state,380993,4147.04178,1440,10603,26,0.0278,9187103,False,False
202105,2021-02-04,326,CE,,23,state,379553,4131.36764,1362,10577,21,0.0279,9187103,False,False
202105,2021-02-03,325,CE,,23,state,378191,4116.54251,1563,10556,46,0.0279,9187103,False,False
202105,2021-02-02,324,CE,,23,state,376628,4099.52953,1604,10510,24,0.0279,9187103,False,False
202105,2021-02-01,323,CE,,23,state,375024,4082.07027,1413,10486,9,0.028,9187103,False,False
202105,2021-01-31,322,CE,,23,state,373611,4066.69001,3311,10477,12,0.028,9187103,False,False
202104,2021-01-30,321,CE,,23,state,370300,4030.65036,0,10465,0,0.0283,9187103,False,False
202104,2021-01-29,320,CE,,23,state,370300,4030.65036,1055,10465,16,0.0283,9187103,False,False
202104,2021-01-28,319,CE,,23,state,369245,4019.16687,1523,10449,26,0.0283,9187103,False,False
202104,2021-01-27,318,CE,,23,state,367722,4002.58928,933,10423,43,0.0283,9187103,False,False
202104,2021-01-26,317,CE,,23,state,366789,3992.43374,1149,10380,17,0.0283,9187103,False,False
202104,2021-01-25,316,CE,,23,state,365640,3979.92708,1673,10363,31,0.0283,9187103,False,False
202104,2021-01-24,315,CE,,23,state,363967,3961.71677,1616,10332,1,0.0284,9187103,False,False
202103,2021-01-23,314,CE,,23,state,362351,3944.12689,1378,10331,11,0.0285,9187103,False,False
202103,2021-01-22,313,CE,,23,state,360973,3929.1276,1295,10320,21,0.0286,9187103,False,False
202103,2021-01-21,312,CE,,23,state,359678,3915.03176,1274,10299,38,0.0286,9187103,False,False
202103,2021-01-20,311,CE,,23,state,358404,3901.16449,1419,10261,18,0.0286,9187103,False,False
202103,2021-01-19,310,CE,,23,state,356985,3885.71893,868,10243,3,0.0287,9187103,False,False
202103,2021-01-18,309,CE,,23,state,356117,3876.2709,2138,10240,17,0.0288,9187103,False,False
202103,2021-01-17,308,CE,,23,state,353979,3852.99914,0,10223,0,0.0289,9187103,False,False
202102,2021-01-16,307,CE,,23,state,353979,3852.99914,2248,10223,3,0.0289,9187103,False,False
202102,2021-01-15,306,CE,,23,state,351731,3828.53006,1160,10220,11,0.0291,9187103,False,False
