decree_id,decree_day,decree_year,decree_month_name,month_id,decree_date
33928,10,2021,fevereiro,2,2021-2-10
33927,07,2021,fevereiro,2,2021-2-07
33927,06,2021,fevereiro,2,2021-2-06
33918,02,2021,fevereiro,2,2021-2-02
33913,30,2021,janeiro,1,2021-1-30
33904,21,2021,janeiro,1,2021-1-21
33899,09,2021,janeiro,1,2021-1-09
33884,02,2021,janeiro,1,2021-1-02
33846,12,2020,dezembro,12,2020-12-12
33845,11,2020,dezembro,12,2020-12-11
33841,05,2020,dezembro,12,2020-12-05
33824,27,2020,novembro,11,2020-11-27
33821,21,2020,novembro,11,2020-11-21
33815,14,2020,novembro,11,2020-11-14
33796,08,2020,novembro,11,2020-11-08
33790,31,2020,outubro,10,2020-10-31
33783,25,2020,outubro,10,2020-10-25
33775,18,2020,outubro,10,2020-10-18
33761,10,2020,outubro,10,2020-10-10
33756,03,2020,outubro,10,2020-10-03
33751,26,2020,setembro,9,2020-9-26
33742,20,2020,setembro,9,2020-9-20
33737,12,2020,setembro,9,2020-9-12
33736,5,2020,setembro,9,2020-9-5
33730,29,2020,agosto,8,2020-8-29
33717,15,2020,agosto,8,2020-8-15
33709,9,2020,agosto,8,2020-8-9
33700,1,2020,agosto,8,2020-8-1
33693,25,2020,julho,7,2020-7-25
33684,18,2020,julho,7,2020-7-18
33671,11,2020,julho,7,2020-7-11
33645,04,2020,julho,7,2020-7-04
33637,27,2020,junho,6,2020-6-27
33631,20,2020,junho,6,2020-6-20
33627,13,2020,junho,6,2020-6-13
33617,06,2020,junho,6,2020-6-06
33608,30,2020,maio,5,2020-5-30
33595,20,2020,maio,5,2020-5-20
33594,20,2020,maio,5,2020-5-20
33574,33,575,maio,5,575-5-33
33544,19,2020,abril,4,2020-4-19
33537,06,2020,abril,4,2020-4-06
33536,05,2020,abril,4,2020-4-05
33534,31,2020,março,3,2020-3-31
33532,30,2020,março,3,2020-3-30
33530,28,2020,março,3,2020-3-28
33526,33,527,março,3,527-3-33
33525,24,2020,março,3,2020-3-24
33523,23,2020,março,3,2020-3-23
33521,21,2020,março,3,2020-3-21
33519,19,2020,março,3,2020-3-19
33512,17,2020,março,3,2020-3-17
33510,16,2020,março,3,2020-3-16
